"Production_Budget_USD","Worldwide_Gross_USD"
6.5e+07,261400000
1e+07,16667084
3e+07,200500000
7700000,882290
7e+07,239814025
1e+07,16153000
430000,2938000
1.4e+07,432645872
13500000,2.02e+08
3e+06,1.5e+07
4e+07,244088654
5e+07,41476097
4.7e+07,162738726
6e+07,157670733
2e+07,53976987
2.2e+07,517600000
3.1e+07,53208180
1.9e+07,424200000
1.3e+07,34166572
2.5e+07,46777347
7e+06,4372561
2.6e+07,61308153
2e+07,21413105
4200000,5835247
4.9e+07,20423389
1.5e+07,476684675
3.5e+07,54768418
2.6e+07,2.02e+08
5.4e+07,66520529
1.1e+07,2e+06
8e+06,2275557
5e+05,55000
450000,2712293
4e+07,34416893
8500000,15024232
35000,321952
23000,1227508
3.5e+07,14471440
1.4e+07,34729091
1e+08,513815401
2e+07,275726716
2.5e+07,78656813
2.5e+07,9286314
6.5e+07,17218916
2.7e+07,96900000
5e+07,390500000
2.3e+07,86930411
2e+07,37537675
7e+06,5017971
2.3e+07,7018525
6e+06,773490
1.6e+07,29090445
5e+06,34872033
2.4e+07,41798224
2500000,6401336
7e+06,8824553
5e+06,19438638
9e+06,349618
7e+07,300854823
2e+07,451329842
3.5e+07,182291969
3e+07,191502246
16500000,58011485
2.4e+07,83531958
6500000,56200634
4e+07,205400000
3e+07,74787599
1.1e+07,81204830
7e+06,5430822
4.2e+07,131052444
4e+07,132440066
4.2e+07,66787173
1e+07,50752337
2e+07,183097323
3.5e+07,4651977
4e+07,14358033
1.1e+07,52929168
8e+06,26199377
5e+06,1526697
4.5e+07,178100000
3.5e+07,319700000
5.5e+07,158500000
1e+07,32100816
8e+07,266824291
4e+07,44948240
14400000,159157447
1.1e+07,21171695
5.5e+07,149022650
7e+06,14231669
5e+06,1050861
4e+07,75505856
12500000,10725228
8e+06,28876702
1200000,2832029
2.8e+07,504050219
3.3e+07,236500000
1.2e+07,27281507
4e+07,215862692
3.5e+07,48169910
2e+07,358994850
2.5e+07,410900000
4e+06,62546695
3.5e+07,28391473
2e+06,21000
1800000,NA
1.4e+07,155056263
8e+05,1001437
3.2e+07,36299670
1.5e+07,52189039
6500000,24103594
1.1e+07,21502976
7000,2041928
1.2e+07,46730578
2.1e+07,42273609
3.5e+07,4496583
1.5e+07,9579068
1.3e+07,27979399
2.2e+07,10696210
1.5e+07,63954968
1.3e+07,1152117
3500000,27731527
6.5e+07,2.55e+08
4.2e+07,20844907
4.4e+07,353715317
8.5e+07,137298489
4.2e+07,270340892
8e+06,22549338
2.8e+07,39360491
2e+07,153698625
1.4e+07,27450453
2.5e+07,10731997
3e+06,15935068
6e+06,3273588
1.5e+07,39100956
3.4e+07,32014993
6900000,7950889
3e+06,3902679
12500000,12309980
6.3e+07,NA
2.5e+07,441286003
1.9e+07,2119994
14600000,70906973
3e+06,242623
7e+06,40157856
2.5e+07,321365567
4.5e+07,187995859
2.6e+07,201324422
2.5e+07,56505065
1.1e+07,9170214
2.2e+07,25842377
5e+07,16581575
4e+07,31835600
5e+07,38590458
1e+07,18423914
4e+07,24172899
6.2e+07,207500000
3e+07,51041856
1.2e+07,107217396
1e+07,3275585
4.5e+07,112006296
1.3e+07,7881335
8e+06,8864699
9e+06,4333569
1.4e+07,13024170
5e+07,119180938
4.5e+07,358500000
2e+07,11744960
5.5e+07,679850637
79300000,987480140
7e+07,131011757
6.3e+07,25052000
4.5e+07,57362581
1e+08,365300000
4.5e+07,117615211
1.8e+07,351620129
1e+07,126247
1500000,418953
4500000,242895809
5.5e+07,212200000
2.8e+07,102053581
2.5e+07,28307092
1500000,5046118
4.5e+07,94215000
1.8e+07,5828466
3e+07,283200000
8e+06,212928762
8e+06,18090181
7e+05,11768371
27000,3894240
2e+07,13383747
5.5e+07,196565669
4e+07,14938149
2e+07,305070
5e+07,223564608
2.2e+07,189800000
5e+06,5438120
3.8e+07,1.2e+08
1.6e+07,45284974
1e+07,29317886
1.6e+07,246400000
4e+07,38087756
1.5e+07,50003303
3.5e+07,99423000
3e+07,160502573
2.7e+07,44342956
10500000,125169
2.5e+07,4064333
13700000,56598476
1.5e+07,529766
1.2e+07,21089146
2.6e+07,13738574
2500000,5683371
2.2e+07,175516617
4e+06,7555256
5e+07,26097497
2e+07,22119269
1.4e+07,2461628
3e+07,246100000
3e+07,23998226
4e+07,14942422
3500000,27936778
9e+07,366101666
7.2e+07,209045522
6e+06,11784569
5.5e+07,282300000
5e+07,83306268
1e+08,336529144
250000,2477155
8.5e+07,113487912
6.5e+07,334100000
2.8e+07,31390587
2.5e+07,22032635
2.3e+07,141247413
7.5e+07,127361412
3.5e+07,113354449
6e+07,104324083
4.5e+07,35627222
1500000,20412216
1.75e+08,264246220
2.2e+07,110521733
6e+06,34449356
2e+07,122133227
2.4e+07,669276
7e+06,25532388
5e+07,152022333
50000,10426506
4e+07,37750754
3e+07,328125643
2e+07,27688744
5e+06,15126948
3.2e+07,18552460
5e+07,67823573
5.5e+07,347100000
3e+07,212400000
5e+07,10359006
5e+07,9812870
30250000,115021008
6100000,2108367
2e+07,32051917
1.4e+07,19637147
4e+06,49800000
16500000,134993774
6.2e+07,107822813
6e+07,356429941
6.8e+07,77224232
5.2e+07,110400000
3e+07,364545516
5.5e+07,159387195
1.1e+07,2794056
1.1e+07,2844379
6.5e+07,262758310
5.8e+07,87100000
4.5e+07,34668249
9.2e+07,18517322
4e+06,4301000
2.9e+07,168841459
3.1e+07,106282604
1.8e+07,4100000
1.1e+07,83088295
9200000,4199334
6e+07,100645801
10000,NA
14500000,147542381
12500000,1412799
2e+07,25732986
4.4e+07,22730924
3.8e+07,10229300
7.5e+07,817400878
5.5e+07,60209334
5900000,37831658
4e+07,20278055
1e+07,41004412
5e+06,407488
4.7e+07,12900000
1.8e+07,2483790
7500000,36238752
8e+06,34873513
1.5e+07,55669466
8e+06,5656388
5.5e+07,122079192
1.2e+07,4880941
7e+06,16149180
3.9e+07,37956589
4.5e+07,36404841
1e+07,3357324
4500000,7011317
2500000,34557416
3.5e+07,1320043
2.5e+07,10039566
1.3e+07,2104439
3.2e+07,152036382
25530000,30593313
8e+07,457697994
1.8e+07,26936265
5.7e+07,104364680
3.2e+07,4357406
9e+06,36049108
8e+07,158908290
2e+07,34600000
4.7e+07,102825796
1e+08,234400000
1e+08,325500000
5e+06,12961389
5.5e+07,273814019
5e+07,113309743
7.5e+07,336069511
4.5e+07,17220599
4.5e+07,20133326
1e+06,1615787
3e+07,19892205
3100000,71558971
4e+07,152266007
2.5e+07,32223424
2.5e+07,36682170
2e+06,304602
7e+06,51204567
7e+07,308700000
5.5e+07,18582965
4.5e+07,75854588
1.9e+07,1353824
4e+07,27682712
3500000,13795053
3e+06,295493
6.5e+07,148345997
5e+07,25426861
4.5e+07,58617334
3e+06,2962051
2.5e+07,51702929
6.7e+07,18115927
3e+07,181489203
3e+05,2525984
3.8e+07,17378193
4500000,13417292
8.8e+07,495700000
8e+05,5034794
1.3e+07,26570048
2400000,5691854
4.4e+07,165600852
2e+05,6618578
1.4e+07,15171475
6.5e+07,33447612
5.5e+07,38564422
2.5e+07,27572844
1300000,749741
8e+07,250200000
4.2e+07,41267469
3.5e+07,231711151
4833610,34175000
6e+07,129832389
4.6e+07,1.5e+08
5500000,36665191
2e+07,26792700
4.6e+07,100833145
7e+06,98754000
8e+07,101371017
5e+07,2.74e+08
3.6e+07,13052741
2.3e+07,12803305
21500000,22331846
1.5e+07,173046663
1.2e+07,63118386
5.5e+07,151947179
1.8e+07,7129670
1.5e+07,76382
9e+07,587790539
3e+06,27788649
25000,2883661
5e+06,353480
8e+06,590817
4.5e+07,2154540
4e+06,2922988
3.6e+07,50159144
3.5e+07,6448817
1.8e+07,67683989
5e+07,50068310
2.6e+07,1083350
3.5e+07,65303052
3.5e+07,2221994
3e+06,4109095
2.7e+07,60527873
1e+07,12554569
4.5e+07,302710615
2e+07,35450113
9e+07,140900000
3.2e+07,3588602
250000,743216
9e+07,169400000
250000,15155095
4.2e+07,4408420
3e+06,4002884
9e+07,120100000
3e+05,42735
1e+07,225933435
7.5e+07,618638999
8e+07,224117573
1.2e+07,14010363
1.1e+08,150468000
7e+07,250700000
2700000,15600000
1.25e+08,238317814
4.6e+07,298923419
4e+06,12836
1e+06,542909
8e+07,241200000
1.15e+08,178200000
